PK,DID,DOMAIN,CID,CFR-2007-TITLE45-VOL1-PART164,TYPE_CFR-2007-TITLE45-VOL1-PART164,NIST_HIPAA_SECURITY_RULE_TOOLKIT_W_LINEBREAKS,HHS-ONC_SRATK_ID,HHS-ONC_SRATK,HHS-ONC_SRATK_W_LINEBREAKS,HHS-ONC_SRATK_NIST_MAP,TYPE_HHS-ONC_SRATK
70,164.314,164.314 Organizational Requirements,164.314(a)(2)(i)(A),"(A) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the covered entity as required by this subpart;",,"Q: Does your organization's business associate contract(s) provide the business associates that will implement administrative, physical and technical safeguards to protect the ePHI?
Q: Does your organization's business associate contract(s) address functions related to creating, receiving, maintaining, and transmitting ePHI?
Q: Do your organization's business associate contracts provide that the business associates conduct a risk assessment that addresses administrative, physical and technical risks?",XXXXX,XXXXX,XXXXX,XXXXX,
71,164.314,164.314 Organizational Requirements,164.314(a)(2)(i)(B),"(B) Ensure that any agent, including a subcontractor, to whom it provides such information agrees to implement reasonable and appropriate safeguards to protect it;",,"Q: Do your organization's business associate contracts provide that any agent, including a subcontractor, to whom the business associate provides ePHI, or access to such ePHI. agrees to implement reasonable and appropriate safeguards to protect the ePHI?",XXXXX,XXXXX,XXXXX,XXXXX,
72,164.314,164.314 Organizational Requirements,164.314(a)(2)(i)(C),(C) Report to the covered entity any security incident of which it becomes aware;,,"Q: Does your organization's business associate contract(s) provide that the business associate will report any security incidents of which it becomes aware to the covered entity?
Q: Has your organization identified the key business associate staff/point of contact in the event of a security incident?
Q: Does your organization have in place a procedure including a reporting mechanism for reporting security incidents by a business associate?",XXXXX,XXXXX,XXXXX,XXXXX,
73,164.314,164.314 Organizational Requirements,164.314(a)(2)(i)(D),"(D) Authorize termination of the contract by the covered entity, if the covered entity determines that the business associate has violated a material term of the contract.",,"Q: Does your organizations business associate contract include standards and thresholds for termination of contract?
Q: Do the conditions for termination within your organization's business associate contract include material breach of the contract, and that the breach cannot be cured?
Q: Does your organizations business associate contract include reporting the problem to Office for Civil Rights (OCR) if contract termination is not possible?",XXXXX,XXXXX,XXXXX,XXXXX,
74,164.314,164.314 Organizational Requirements,164.314(a)(2)(ii),"(ii) Other arrangements. (A) When a covered entity and its business associate are both governmental entities, the covered entity is in compliance with paragraph (a)(1) of this section, if—",,"Q: If your organization and the organization you are contract with are both governmental agencies do you use a memorandum of understanding (MOU)?
Q: Does your organization's MOU/agreement provide protection for the ePHI equivalent to those provided in at HIPAA business associate contract?
Q: If your organization's MOU cannot be terminated, are other enforcement mechanisms in place that are reasonable and appropriate?",XXXXX,XXXXX,XXXXX,XXXXX,
75,164.314,164.314 Organizational Requirements,164.314(a)(2)(ii)(1),(1) It enters into a memorandum of understanding with the business associate that contains terms that accomplish the objectives of paragraph (a)(2)(i) of this section; or,,Q: Does your organization use memorandum of understanding (MOU) with certain business associates?,XXXXX,XXXXX,XXXXX,XXXXX,
76,164.314,164.314 Organizational Requirements,164.314(a)(2)(ii)(2),(2) Other law (including regulations adopted by the covered entity or its business associate) contains requirements applicable to the business associate that accomplish the objectives of paragraph (a)(2)(i) of this section.,,Q: Does your organization have other laws similar to business associate agreement requirements that it must implement?,XXXXX,XXXXX,XXXXX,XXXXX,
77,164.314,164.314 Organizational Requirements,164.314(a)(2)(ii)(B),"(B) If a business associate is required by law to perform a function or activity on behalf of a covered entity or to provide a service described in the definition of business associate as specified in § 160.103 of this subchapter to a covered entity, the covered entity may permit the business associate to create, receive, maintain, or transmit electronic protected health information on its behalf to the extent necessary to comply with the legal mandate without meeting the requirements of paragraph (a)(2)(i) of this section, provided that the covered entity attempts in good faith to obtain satisfactory assurances as required by paragraph (a)(2)(ii)(A) of this section, and documents the attempt and the reasons that these assurances cannot be obtained.",,"Q: If your organization has an MOU have you made a good faith effort to obtain satisfactory assurances that the HIPAA Security Standards are met?
Q: Does your organization make the attempt to obtain satisfactory assurances, and the reasons that they cannot be obtained documented?",XXXXX,XXXXX,XXXXX,XXXXX,
78,164.314,164.314 Organizational Requirements,164.314(a)(2)(ii)(C),"(C) The covered entity may omit from its other arrangements authorization of the termination of the contract by the covered entity, as required by paragraph (a)(2)(i)(D) of this section if such authorization is inconsistent with the statutory obligations of the covered entity or its business associate.",,Q: Does your organization or your contact partners have statutory obligations which requires the removal of the termination requirement?,O3,"(O3): If your practice is the business associate of a covered entity do the terms and conditions of your practice’s business associate agreements state that your subcontractor (business associate) will implement appropriate security safeguards to protect the privacy, confidentiality, integrity, and availability of ePHI that it collects, creates, maintains, or transmits on behalf of the covered entity?","(O3): If your practice is the business associate of a covered entity do the terms and conditions of your practice’s business associate agreements state that your subcontractor (business associate) will implement appropriate security safeguards to protect the privacy, confidentiality, integrity, and availability of ePHI that it collects, creates, maintains, or transmits on behalf of the covered entity?",Required,
79,164.314,164.314 Organizational Requirements,164.314(b)(1),"(b)(1) Standard: Requirements for group health plans. Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to § 164.504(f)(1)(ii) or (iii), or as authorized under § 164.508, a group health plan must ensure that its plan documents provide that the plan sponsor will reasonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on behalf of the group health plan.",Standard,"Q: Is your organization a group health plan? 
Q: Does your organization only share summary health information or disclose whether an individual is a participant or enrolled/unenrolled to the health plan sponsor?",XXXXX,XXXXX,XXXXX,XXXXX,
80,164.314,164.314 Organizational Requirements,164.314(b)(2),"(2) Implementation specifications (Required). The plan documents of the group health plan must be amended to incorporate provisions to require the plan sponsor to— (i) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan; (ii) Ensure that the adequate separation required by § 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures; (iii) Ensure that any agent, including a subcontractor, to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and (iv) Report to the group health plan any security incident of which it becomes aware.",Required,"Q: Does your organization have group health plan documents that include plan sponsor requirements?
Q: Does your organization amend your plan documents to incorporate provisions that require a health plan sponsor to implement administrative, physical and technical safeguards to protect the ePHI. Also, does the plan sponsor create, receive, maintain or transmit on your behalf?
Q: Does your organization's plan document and ensure adequate separation between the group health plan and the plan sponsor, including sponsor's employees, classes of employees, or other persons who will be given access to the ePHI?
Q: Do your organization's plan documents include provisions to require plan sponsor's agents, including subcontractors, to whom it provides ePHI agrees to implement all reasonable and appropriate security measures to protect the ePHI?
Q: Do your organization's plan documents include provisions to require plan sponsor to report to the group health plan ay security incident of which it becomes aware?
Q: Does your organization have a procedure in place that includes a mechanism for reporting security incidents by a plan sponsor?
Q: Does your organization have a procedure in place that includes a reporting mechanism for responding to security incidents by a plan sponsor?",XXXXX,XXXXX,XXXXX,XXXXX,
81,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(a),"(a) Standard: Policies and procedures. Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, or other requirements of this subpart, taking into account those factors specified in § 164.306(b)(2)(i), (ii), (iii), and (iv). This standard is not to be construed to permit or excuse an action that violates any other standard, implementation specification, or other requirements of this subpart. A covered entity may change its policies and procedures at any time, provided that the changes are documented and are implemented in accordance with this subpart.",Standard,"Q: Does your organization have policies and procedures for administrative safeguards, physical safeguards, and technical safeguards?
Q: Does your organization have in place reasonable and appropriate polices and procedures that comply with the standards and implementation specifications of the HIPAA Security Rule?
Q: Does your organizations security policies and procedures take into consideration: 1) your organization's size, complexity and the services you provide. 2) your organization's technical infrastructure, hardware and software capabilities, 3) the cost of your organization's security measures, 4) the potential risks to day-to-day operation including which functions, and tools are critical to operations?
Q: Does your organization have procedures for periodic revaluation of your security polices and procedures, and update them when necessary?
Q: Does your organization change security policies and procedures at any appropriate time, and document the changes and implementation?",PO1,"(PO1): Do your practice’s processes enable the development and maintenance of policies and procedures that implement risk analysis, informed risk-based decision making for security risk mitigation, and effective mitigation and monitoring that protects the privacy, confidentiality, integrity, and availability of ePHI?","(PO1): Do your practice’s processes enable the development and maintenance of policies and procedures that implement risk analysis, informed risk-based decision making for security risk mitigation, and effective mitigation and monitoring that protects the privacy, confidentiality, integrity, and availability of ePHI?",Standard,"RA-1,RA-3"
82,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(b)(1),(b)(1) Standard: Documentation. ,Standard,"Q: Does your organization have a documentation policy and procedures? 
Q: Has your organization documented all security policies and procedures? 
Q: Has your organization documented your decisions concerning the security management, operational, and technical controls to mitigate your identified risks?
Q: Does your organization update your security documentation following breaches, security incidents, new acquisitions, change in technology and other similar times?
Q: Does your organization have an individual or office that maintains and is responsible for your HIPAA Security documentation?",XXXXX,XXXXX,XXXXX,XXXXX,
83,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(b)(1)(i),(i) Maintain the policies and procedures implemented to comply with this subpart in written (which may be electronic) form; and,,XXXXX,PO2,(PO2): Does your practice assure that its policies and procedures are maintained in a manner consistent with other business records?,(PO2): Does your practice assure that its policies and procedures are maintained in a manner consistent with other business records?,Standard,
84,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(b)(1)(ii),"(ii) If an action, activity or assessment is required by this subpart to be documented, maintain a written (which may be electronic) record of the action, activity, or assessment.",,XXXXX,PO3,(PO3): Does your practice assure that its other security program documentation is maintained in written manuals or in electronic form?,(PO3): Does your practice assure that its other security program documentation is maintained in written manuals or in electronic form?,Standard,SI-12
85,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(b)(2),(2) Implementation specifications:,,Q: Does your organization have a data retention policy and procedure(s) that consider all HIPAA retention requirements?,XXXXX,XXXXX,XXXXX,XXXXX,
86,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(b)(2)(i),"(i) Time limit (Required). Retain the documentation required by paragraph (b)(1) of this section for 6 years from the date of its creation or the date when it last was in effect, whichever is later.",Required,Q: Has your organization aligned HIPAA documentation retention requirements with all other data retention polices?,PO4,"(PO4): Does your practice assure that its policies, procedures, and other security program documentation are retained for at least six (6) years from the date when it was created or last in effect, whichever is longer?","(PO4): Does your practice assure that its policies, procedures, and other security program documentation are retained for at least six (6) years from the date when it was created or last in effect, whichever is longer?",Required,"SI-12,AU-7"
87,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(b)(2)(ii),(ii) Availability (Required). Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.,Required,"Q: Has your organization communicated with all staff that need access to your security documentation where it is found?
Q: Does your organization's education, training and awareness activities include the availability of your security documentation?
Q: Does your organization have a process in place to solicit input from the staff, employees, and workforce impacted, into your updates of your security policies and procedures?",PO5,"(PO5): Does your practice assure that its policies, procedures and other security program documentation are available to those who need it to perform the responsibilities associated with their role?","(PO5): Does your practice assure that its policies, procedures and other security program documentation are available to those who need it to perform the responsibilities associated with their role?",Required,AC-3
88,164.316,164.316 Polices And Procedures And Documentation Requirements,164.316(b)(2)(iii),"(iii) Updates (Required). Review documentation periodically, and update as needed, in response to environmental or operational changes affecting the security of the electronic protected health information.",Required,Q: Does your organization have a version control for your procedure(s) and process for the verification of the timeliness of your security policies and procedures?,PO6,"(PO6): Does your practice assure that it periodically reviews and updates (when needed) its policies, procedures, and other security program documentation?","(PO6): Does your practice assure that it periodically reviews and updates (when needed) its policies, procedures, and other security program documentation?",Required,"PL-1,PL-2"
